Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,AllowsTearing,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.013595,11.137,10.913,0.014,8.042,8.042
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.023811,10.216,11.220,0.014,9.045,9.045
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.035148,11.336,10.756,0.015,8.465,8.465
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.046082,10.935,10.905,0.015,8.435,8.435
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.057331,11.248,10.967,0.014,8.154,8.154
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.068498,11.168,10.754,0.015,7.741,7.741
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.079036,10.537,10.850,0.014,8.053,8.053
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.090251,11.215,10.873,0.015,7.711,7.711
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.100812,10.561,11.562,0.015,8.713,8.713
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.111914,11.102,11.297,0.014,8.908,8.908
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.123697,11.783,11.211,0.014,8.336,8.336
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.135373,11.677,10.804,0.015,7.464,7.464
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.145939,10.566,10.708,0.015,7.606,7.606
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.156999,11.059,10.841,0.015,7.387,7.387
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.167369,10.371,11.177,0.015,8.194,8.194
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.178248,10.878,10.918,0.016,8.233,8.233
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.189011,10.763,11.061,0.014,8.531,8.531
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.199558,10.547,11.146,0.016,9.130,9.130
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.210632,11.074,10.793,0.014,8.849,8.849
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.221812,11.180,10.993,0.018,8.662,8.662
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.233140,11.328,10.614,0.014,7.947,7.947
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.243812,10.672,10.537,0.015,7.813,7.813
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.254314,10.501,10.771,0.016,8.082,8.082
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.265272,10.959,10.951,0.015,8.074,8.074
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.276594,11.322,10.771,0.015,7.523,7.523
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.287173,10.579,10.736,0.015,7.680,7.680
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.297365,10.192,10.987,0.015,8.475,8.475
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.308766,11.401,11.100,0.015,8.175,8.175
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.319575,10.809,11.099,0.015,8.465,8.465
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.331194,11.619,11.019,0.015,7.865,7.865
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.341813,10.618,10.779,0.014,8.026,8.026
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.352463,10.650,11.157,0.015,8.532,8.532
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.364031,11.568,11.406,0.015,8.371,8.371
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.375251,11.221,11.050,0.015,8.201,8.201
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.385924,10.673,10.539,0.015,8.067,8.067
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.396589,10.666,10.563,0.015,7.964,7.964
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.407241,10.652,10.930,0.015,8.242,8.242
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.418462,11.221,10.915,0.015,7.936,7.936
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.429135,10.673,10.599,0.017,7.863,7.863
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.440796,11.661,10.771,0.015,6.973,6.973
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.450727,9.931,11.051,0.015,8.093,8.093
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.461543,10.816,11.430,0.015,8.707,8.707
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.473298,11.755,10.788,0.015,7.739,7.739
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.484716,11.418,10.573,0.018,6.893,6.893
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.494962,10.246,10.431,0.015,7.078,7.078
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.505694,10.732,10.355,0.016,6.702,6.702
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.515340,9.646,10.537,0.015,7.593,7.593
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.525922,10.583,10.728,0.016,7.739,7.739
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.537093,11.170,10.855,0.017,7.423,7.423
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.547920,10.828,10.568,0.015,7.164,7.164
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.558309,10.389,10.427,0.017,7.201,7.201
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.569395,11.086,10.578,0.015,6.693,6.693
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.579624,10.229,10.893,0.016,7.357,7.357
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.590071,10.447,10.485,0.015,7.395,7.395
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.601170,11.099,10.354,0.015,6.651,6.651
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.611226,10.056,10.559,0.016,7.154,7.154
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.621870,10.645,10.824,0.015,7.333,7.333
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.632496,10.625,10.873,0.015,7.580,7.580
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.643449,10.953,10.594,0.015,7.222,7.222
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.653948,10.500,10.437,0.015,7.159,7.159
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.664086,10.138,10.604,0.016,7.626,7.626
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.674733,10.647,10.685,0.016,7.664,7.664
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.685385,10.652,11.140,0.016,8.152,8.152
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.696333,10.947,10.559,0.015,7.764,7.764
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.707228,10.895,10.430,0.015,7.298,7.298
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.718282,11.055,10.574,0.015,6.818,6.818
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.728232,9.950,10.575,0.015,7.442,7.442
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.739494,11.261,10.772,0.018,6.953,6.953
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.749730,10.236,10.951,0.015,7.668,7.668
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.760515,10.785,10.701,0.015,7.584,7.584
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.771304,10.789,10.769,0.015,7.563,7.563
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.781675,10.371,10.474,0.016,7.666,7.666
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.792696,11.021,10.916,0.015,7.561,7.561
DOOMx64vk.exe,4128,0x0000000000000000,Other,0,1,0,Hardware: Legacy Flip,0,0.803597,10.901,11.005,0.015,7.665,7.665
