Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,AllowsTearing,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsUntilRenderComplete,MsUntilDisplayed
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.010143,6.371,13.889,0.118,12.414,13.075
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.010326,6.444,16.666,0.058,12.299,28.588
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.023732,13.588,20.835,0.143,15.522,20.322
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.044900,21.168,6.954,0.155,0.405,6.109
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.045159,34.833,16.672,0.077,0.209,10.428
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.045067,34.801,33.335,0.082,0.259,12.309
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.051519,6.619,6.932,0.132,4.339,6.421
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.058714,7.195,6.953,0.137,0.374,6.180
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.058924,13.765,16.661,0.049,0.213,13.324
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.058856,13.789,16.666,0.065,0.256,15.186
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.065404,6.691,13.889,0.175,7.130,13.378
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.079543,14.139,6.943,0.145,0.402,6.182
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.079757,20.833,16.674,0.046,0.236,9.165
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.079693,20.837,16.669,0.060,0.273,11.018
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.086194,6.652,6.942,0.116,3.013,6.472
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.093457,7.262,6.949,0.144,0.401,6.159
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.093673,13.916,16.677,0.058,0.245,11.926
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.100080,6.623,6.938,0.113,5.808,6.473
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.093606,13.913,16.665,0.063,0.273,13.769
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.114285,14.205,13.900,0.127,0.403,6.168
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.114474,20.801,16.667,0.045,0.279,7.792
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.114416,20.810,16.674,0.054,0.294,9.633
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.120914,6.629,6.958,0.120,1.642,6.497
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.128229,7.315,6.942,0.160,0.327,6.123
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.128461,13.987,16.670,0.049,0.176,10.476
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.128394,13.978,16.672,0.063,0.194,12.326
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.134889,6.660,6.928,0.178,4.244,6.391
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.141941,7.052,6.951,0.156,0.315,6.290
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.142102,13.641,16.653,0.062,0.176,13.487
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.148679,6.739,13.889,0.133,7.102,13.441
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.163353,14.674,6.967,0.157,0.398,5.735
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.163587,21.485,16.699,0.051,0.224,8.701
,520,0x0000023DC385D420,DXGI,1,0,0,Hardware: Legacy Flip,0,0.163515,35.120,33.329,0.069,0.255,10.535
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.170296,6.943,6.930,0.195,2.249,5.722
,520,0x0000023DCA2DD8C0,DXGI,1,0,0,Hardware: Legacy Flip,0,0.177095,6.799,6.959,0.221,0.412,5.882
,520,0x0000023DCA6F4F40,DXGI,1,0,0,Hardware: Legacy Flip,0,0.177408,13.821,16.660,0.068,0.163,11.540
